sample_id	genotype_id	rep	date_nod_picked		batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity
869C	869	C	5/12/21	y	8			869_C_0110_cropped.tif	103	4.115	0.04	10.067	0.699	0.918
869D	869	D	5/13/21	Y	7			869_D_0121_cropped.tif	199	3.127	0.016	7.527	0.638	0.833
869E	869	E	5/15/21		10			869_E_0144_cropped.tif	181	3.321	0.018	9.897	0.604	0.829
883A	883	A	5/10/21	Y	5		3668	883_A_0034_cropped.tif	178	3.634	0.02	7.047	0.691	0.918
883B	883	B	5/11/21	y	6			883_B_0063_cropped.tif	256	2.312	0.009	3.753	0.633	0.838
883C	883	C	5/12/21	y	8			883_C_0106_cropped.tif	196	4.079	0.021	9.606	0.627	0.86
883D	883	D	5/13/21	Y	7			883_D_0119_cropped.tif	191	3.762	0.02	6.409	0.651	0.886
883E	883	E	5/14/21	Y	11			883_E_0166_cropped.tif	146	2.833	0.019	4.88	0.705	0.916
884A	884	A	5/10/21	y	4			884_A_img033_cropped.tif	224	1.341	0.006	1.606	0.627	0.82
884B	884	B	5/11/21	y	6			884_B_0075_cropped.tif	199	1.738	0.009	5.71	0.641	0.833
884C	884	C	5/12/21	y	8			884_C_0093_cropped.tif	169	3.278	0.019	8.437	0.635	0.839
884D	884	D	5/13/21	Y	7			884_D_0134_cropped.tif	97	3.439	0.035	9.007	0.684	0.897
884E	884	E	5/15/21		10			884_E_0147_cropped.tif	276	2.792	0.01	5.918	0.594	0.795
885A	885	A	5/10/21	y	4			885_A_0042_cropped.tif	366	1.32	0.004	1.581	0.656	0.877
885B	885	B	5/11/21	y	6			885_B_0068_cropped.tif	85	2.349	0.028	5.74	0.641	0.87
885C	885	C	5/12/21	y	8			885_C_0099_cropped.tif	224	2.599	0.012	6.854	0.706	0.87
885D	885	D	5/13/21	Y	7			885_D_0138_cropped.tif	129	2.259	0.018	5.732	0.628	0.841
885E	885	E	5/14/21	Y	11			885_E_0169_cropped.tif	72	2.833	0.039	3.404	0.665	0.904
886A	886	A	5/10/21	y	4			886_A_0046_cropped.tif	134	2.309	0.017	5.637	0.637	0.819
886B	886	B	5/11/21	y	6			886_B_0084_cropped.tif	91	1.839	0.02	8.051	0.679	0.844
