"sample_id"	"genotype_id"	"name"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"844D"	844	"latd"	"Early"	"D"	"A17"	"5/7/21"	2	0	"N"	0.166	0.122	0	0	0	0	NA	0.083	0.061	0.734939759036145	0.144	NA	NA	NA	NA	NA
"844E"	844	"latd"	"Early"	"E"	"A17"	"5/7/21"	2	0	"N"	0.189	0.099	0	0	0	0	NA	0.0945	0.0495	0.523809523809524	0.144	NA	NA	NA	NA	NA
"844F"	844	"latd"	"Early"	"F"	"A17"	"5/7/21"	1	0	"N"	0.072	0.052	0	0	0	0	NA	0.072	0.052	0.722222222222222	0.124	NA	NA	NA	NA	NA
"845A"	845	"hcl"	"Early"	"A"	"A17"	"5/10/21"	2	10	"F"	1.068	0.419	320	2	1.526	0.005	1.26e+08	0.534	0.2095	0.392322097378277	0.7435	160	7.79934054945358	5.59522056679766	0.763	0.00476875
"845B"	845	"hcl"	"Early"	"B"	"A17"	"5/11/21"	3	2	"F"	1.514	0.849	121	3	2.361	0.02	2.43e+08	0.504666666666667	0.283	0.560766182298547	0.787666666666667	40.3333333333333	7.90848501887865	6.30282090328186	0.787	0.0195123966942149
"845C"	845	"hcl"	"Early"	"C"	"A17"	"5/12/21"	2	5	"F"	0.614	NA	316	2	2.127	0.007	1.79e+08	0.307	NA	NA	NA	158	7.95182303531591	5.75316594836149	1.0635	0.00673101265822785
"845D"	845	"hcl"	"Early"	"D"	"A17"	"5/13/21"	2	4	"F"	1.083	0.569	102	2	1.956	0.019	2.22e+08	0.5415	0.2845	0.52539242843952	0.826	51	8.04532297878666	6.33775280268872	0.978	0.0191764705882353
"845E"	845	"hcl"	"Early"	"E"	"A17"	"5/14/21"	2	8	"F"	1.689	0.707	220	2	3.465	0.016	NA	0.8445	0.3535	0.418590882178804	1.198	110	NA	NA	1.7325	0.01575
"846A"	846	"nad1"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.142	0.103	0	2	0	0	28400000	0.0473333333333333	0.0343333333333333	0.725352112676056	0.0816666666666667	0	7.15228834438306	NA	0	NA
"846B"	846	"nad1"	"Late"	"B"	"A17"	"5/6/21"	3	0	"N"	0.217	0.21	610	2	0.379	0.000622	3e+07	0.0723333333333333	0.07	0.967741935483871	0.142333333333333	305	7.17609125905568	4.6917914197089	0.1895	0.000621311475409836
"846C"	846	"nad1"	"Late"	"C"	"A17"	"5/7/21"	3	0	"N"	0.256	0.308	588	2	0.487	0.000829	30300000	0.0853333333333333	0.102666666666667	1.203125	0.188	294	7.18041263283832	4.71206530242617	0.2435	0.000828231292517007
"846D"	846	"nad1"	"Late"	"D"	"A17"	"5/13/21"	2	0	"N"	0.111	0.197	286	1	0.681	0.002	75400000	0.0555	0.0985	1.77477477477477	0.154	286	7.87737134586977	5.42100531274073	0.681	0.00238111888111888
"847B"	847	"ipd3"	"Early"	"B"	"A17"	"5/6/21"	3	0	"N"	0.236	0.286	47	1	0.016	0.00035	7900000	0.0786666666666667	0.0953333333333333	1.21186440677966	0.174	47	6.89762709129044	5.22552923335472	0.016	0.000340425531914894
"847A"	847	"ipd3"	"Early"	"A"	"A17"	"5/6/21"	3	0	"N"	0.226	0.241	313	2	0.342	0.001	3.1e+07	0.0753333333333333	0.0803333333333333	1.06637168141593	0.155666666666667	156.5	7.19033169817029	4.99581735628782	0.171	0.0010926517571885
"847C"	847	"ipd3"	"Early"	"C"	"A17"	"5/8/21"	3	0	"N"	0.332	0.438	202	2	0.126	0.000622	9500000	0.110666666666667	0.146	1.31927710843373	0.256666666666667	101	6.67669360962487	4.67237223584222	0.063	0.000623762376237624
"847E"	847	"ipd3"	"Early"	"E"	"A17"	"5/14/21"	3	0	"N"	0.213	0.196	234	2	0.242	0.001	4.9e+07	0.071	0.0653333333333333	0.92018779342723	0.136333333333333	117	7.38916608436453	5.32098022261837	0.121	0.00103418803418803
"848A"	848	"dmi1-2"	"Early"	"A"	"A17"	"5/6/21"	3	0	"N"	0.221	0.49	0	0	0	0	NA	0.0736666666666667	0.163333333333333	2.21719457013575	0.237	NA	NA	NA	NA	NA
"848B"	848	"dmi1-2"	"Early"	"B"	"A17"	"5/6/21"	2	0	"N"	0.432	0.919	0	0	0	0	NA	0.216	0.4595	2.12731481481481	0.6755	NA	NA	NA	NA	NA
"848C"	848	"dmi1-2"	"Early"	"C"	"A17"	"5/7/21"	2	0	"N"	0.237	0.386	0	0	0	0	NA	0.1185	0.193	1.62869198312236	0.3115	NA	NA	NA	NA	NA
"848E"	848	"dmi1-2"	"Early"	"E"	"A17"	"5/6/21"	3	0	"N"	0.231	0.51	0	0	0	0	NA	0.077	0.17	2.20779220779221	0.247	NA	NA	NA	NA	NA
"848F"	848	"dmi1-2"	"Early"	"F"	"A17"	"5/7/21"	2	0	"N"	0.237	0.495	0	0	0	0	NA	0.1185	0.2475	2.08860759493671	0.366	NA	NA	NA	NA	NA
"849A"	849	"dmi2-3"	"Early"	"A"	"A17"	"5/6/21"	1	0	"N"	0.111	0.257	0	0	0	0	NA	0.111	0.257	2.31531531531532	0.368	NA	NA	NA	NA	NA
"850A"	850	"dmi3-1"	"Early"	"A"	"A17"	"5/6/21"	3	0	"N"	0.348	0.597	0	0	0	0	NA	0.116	0.199	1.71551724137931	0.315	NA	NA	NA	NA	NA
"850B"	850	"dmi3-1"	"Early"	"B"	"A17"	"5/6/21"	3	0	"N"	0.288	0.547	0	0	0	0	NA	0.096	0.182333333333333	1.89930555555556	0.278333333333333	NA	NA	NA	NA	NA
"850C"	850	"dmi3-1"	"Early"	"C"	"A17"	"5/7/21"	3	0	"N"	0.188	0.297	0	0	0	0	NA	0.0626666666666667	0.099	1.57978723404255	0.161666666666667	NA	NA	NA	NA	NA
"850D"	850	"dmi3-1"	"Early"	"D"	"A17"	"5/7/21"	2	0	"N"	0.083	0.203	0	0	0	0	NA	0.0415	0.1015	2.44578313253012	0.143	NA	NA	NA	NA	NA
"850E"	850	"dmi3-1"	"Early"	"E"	"A17"	"5/7/21"	3	0	"N"	0.271	0.528	0	0	0	0	NA	0.0903333333333333	0.176	1.94833948339483	0.266333333333333	NA	NA	NA	NA	NA
"850F"	850	"dmi3-1"	"Early"	"F"	"A17"	"5/7/21"	3	0	"N"	0.144	0.297	0	0	0	0	NA	0.048	0.099	2.0625	0.147	NA	NA	NA	NA	NA
"851A"	851	"dnf5/dnf2"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.226	0.236	426	2	0.246	0.000577	2.47e+08	0.0753333333333333	0.0786666666666667	1.04424778761062	0.154	213	8.09166695759568	5.76328735415695	0.123	0.000577464788732394
"851B"	851	"dnf5/dnf2"	"Late"	"B"	"A17"	"5/6/21"	3	0	"N"	0.257	0.249	606	1	0.397	0.000655	3.51e+08	0.0856666666666667	0.083	0.968871595330739	0.168666666666667	606	8.54530711646582	5.76283449229954	0.397	0.000655115511551155
"851C"	851	"dnf5/dnf2"	"Late"	"C"	"A17"	"5/7/21"	3	0	"N"	0.294	0.397	444	1	0.323	0.000727	3.26e+08	0.098	0.132333333333333	1.35034013605442	0.230333333333333	444	8.51321760006794	5.86583462995332	0.323	0.000727477477477478
"851D"	851	"dnf5/dnf2"	"Late"	"D"	"A17"	"5/13/21"	3	0	"N"	0.192	0.362	491	2	1.297	0.003	4.37e+08	0.064	0.120666666666667	1.88541666666667	0.184666666666667	245.5	8.33945144130644	5.94939994484745	0.6485	0.00264154786150713
"851E"	851	"dnf5/dnf2"	"Late"	"E"	"A17"	"5/14/21"	3	0	"N"	0.346	0.386	246	2	0.581	0.002	4.21e+08	0.115333333333333	0.128666666666667	1.11560693641619	0.244	123	8.32325210017169	6.23334698873229	0.2905	0.00236178861788618
"852A"	852	"dnf1/dnf2"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.269	0.202	909	2	0.837	0.000921	2.13e+08	0.0896666666666667	0.0673333333333333	0.75092936802974	0.157	454.5	8.02734960777476	5.36981572021677	0.4185	0.000920792079207921
"852B"	852	"dnf1/dnf2"	"Late"	"B"	"A17"	"5/6/21"	3	0	"N"	0.231	0.244	225	1	0.107	0.000475	1.9e+08	0.077	0.0813333333333333	1.05627705627706	0.158333333333333	225	8.27875360095283	5.92657108284147	0.107	0.000475555555555556
