"sample_id"	"genotype_id"	"geno"	"type"	"rep"	"background"	"date_biomass_harvested"	"num_plants"	"percent_herbivory"	"flowering"	"above_biomass_g"	"below_biomass_g"	"Count"	"num_plants_picked_nods"	"total_area"	"average_size"	"cfu_ml"	"nodule_isolate_diversity"	"above_biomass_per_plant"	"below_biomass_per_plant"	"root_to_shoot_ratio"	"total_biomass_per_plant"	"nodule_number_per_plant"	"cfu_per_plant_LOG10"	"cfu_per_nodule_LOG10"	"total_nodulated_area_per_plant"	"average_area_per_nodule"
"839B"	"839"	"dnf6"	"Late"	"B"	"A17"	"5/11/21"	2	4	"F"	0.651	0.338	630	2	2.475	0.004	2.69e+08	4.25061415195631	0.3255	0.169	0.519201228878648	0.4945	315	8.12872228433843	5.63041173054883	1.2375	0.00392857142857143
"839C"	"839"	"dnf6"	"Late"	"C"	"A17"	"5/12/21"	3	5	"F"	1.42	0.856	504	1	1.62	0.003	3.03e+09	4.21552264061949	0.473333333333333	0.285333333333333	0.602816901408451	0.758666666666667	504	9.48144262850231	6.77901209205678	1.62	0.00321428571428571
"839D"	"839"	"dnf6"	"Late"	"D"	"A17"	"5/13/21"	1	0	"N"	0.32	0.298	558	1	1.661	0.003	2.84e+08	4.20659010174265	0.32	0.298	0.93125	0.618	558	8.45331834004704	5.70668414110946	1.661	0.00297670250896057
"839E"	"839"	"dnf6"	"Late"	"E"	"A17"	"5/14/21"	1	3	"F"	1.134	0.516	701	1	1.51	0.002	5.26e+08	4.08778682894154	1.134	0.516	0.455026455026455	1.65	701	8.72098574415374	5.87526772618708	1.51	0.00215406562054208
"840A"	"840"	"dnf7"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.218	0.174	374	3	0.273	0.000729	2.35e+08	3.81076713740473	0.0726666666666667	0.058	0.798165137614679	0.130666666666667	124.666666666667	7.89394660755207	5.79819626007126	0.091	0.000729946524064171
"840B"	"840"	"dnf7"	"Late"	"B"	"A17"	"5/6/21"	3	0	"N"	0.294	0.224	384	2	0.183	0.000476	3.05e+08	NA	0.098	0.0746666666666667	0.761904761904762	0.172666666666667	192	8.1832698436828	5.89996861497926	0.0915	0.0004765625
"840C"	"840"	"dnf7"	"Late"	"C"	"A17"	"5/7/21"	3	0	"N"	0.31	0.378	477	2	0.332	0.000696	2.68e+08	3.67465966792393	0.103333333333333	0.126	1.21935483870968	0.229333333333333	238.5	8.12710479836481	5.74961641498868	0.166	0.00069601677148847
"840D"	"840"	"dnf7"	"Late"	"D"	"A17"	"5/13/21"	3	0	"N"	0.173	0.206	307	1	0.834	0.003	2.44e+08	3.30859970901791	0.0576666666666667	0.0686666666666667	1.19075144508671	0.126333333333333	307	8.38738982633873	5.90025145086154	0.834	0.00271661237785016
"840E"	"840"	"dnf7"	"Late"	"E"	"A17"	"5/14/21"	2	0	"N"	0.319	0.328	266	2	0.313	0.001	2.99e+08	4.02437469988549	0.1595	0.164	1.0282131661442	0.3235	133	8.17464119266045	6.05078955169336	0.1565	0.00117669172932331
"851A"	"851"	"dnf5/dnf2"	"Late"	"A"	"A17"	"5/6/21"	3	0	"N"	0.226	0.236	426	2	0.246	0.000577	2.47e+08	3.94004438512585	0.0753333333333333	0.0786666666666667	1.04424778761062	0.154	213	8.09166695759568	5.76328735415695	0.123	0.000577464788732394
