sample_id.x	genotype_id	rep.x	date_nod_picked.x	X	batch	start	end	Slice	Count	total_area	average_size	percent_area	Circularity	Solidity	sample_id.y	rep.y	cfu_ml	num_alive_apr15	date_on_plant_tag	nodule_harvester	nodule_weight_g	date_biomass_harvested	num_plants	percent_herbivory	flowering	above_biomass_g	below_biomass_g	ratio	num_plants_picked_nods	date_nod_picked.y	nod_distribution	image_above	image_below	envelope_notes	name	background	type	order
836D	836	D	5/13/2021	Y	7	NA	NA	836_D_0123_cropped.tif	269	0.891	0.003	1.829	0.848	0.941	836D	D	2.02E+08	2	5/13/21	JH	NA	5/13/21	NA	1	N	0.566	0.541	1.046210721	1	5/13/21	even	9505	9549		dnf3	A17	Late	0
836D	836	D	5/13/2021	Y	7	NA	NA	836_D_0123_cropped.tif	269	0.891	0.003	1.829	0.848	0.941	836E	E	1.67E+08	2	5/14/21	RBB	NA	5/14/21	2	3	F	0.878	0.883	0.994337486	1	5/14/21	bottom	9517	9559		dnf3	A17	Late	0
836E	836	E	5/14/2021	Y	11	NA	NA	836_E_0160_cropped.tif	466	1.286	0.003	1.545	0.781	0.919	836A	A	1.52E+08	3	05/10/21	LTB	0.047	05/10/21	3	2	F	0.833	0.702	1.186609687	1	05/10/21	even	9502	9531		dnf3	A17	Late	0
836E	836	E	5/14/2021	Y	11	NA	NA	836_E_0160_cropped.tif	466	1.286	0.003	1.545	0.781	0.919	836B	B	1.36E+08	2	05/11/21	JH	0.024	05/11/21	3	4	F	0.985	0.594	1.658249158	1	05/11/21	even	8987	9560		dnf3	A17	Late	0
836E	836	E	5/14/2021	Y	11	NA	NA	836_E_0160_cropped.tif	466	1.286	0.003	1.545	0.781	0.919	836C	C	65200000	2	05/12/21	LCL	0.037	05/12/21	2	10	F	0.792	0.68	1.164705882	1	05/12/21	even	9477	9545		dnf3	A17	Late	0
836E	836	E	5/14/2021	Y	11	NA	NA	836_E_0160_cropped.tif	466	1.286	0.003	1.545	0.781	0.919	836D	D	2.02E+08	2	5/13/21	JH	NA	5/13/21	NA	1	N	0.566	0.541	1.046210721	1	5/13/21	even	9505	9549		dnf3	A17	Late	0
836E	836	E	5/14/2021	Y	11	NA	NA	836_E_0160_cropped.tif	466	1.286	0.003	1.545	0.781	0.919	836E	E	1.67E+08	2	5/14/21	RBB	NA	5/14/21	2	3	F	0.878	0.883	0.994337486	1	5/14/21	bottom	9517	9559		dnf3	A17	Late	0
837A	837	A	05/10/21	Y	5	NA	NA	837_A_0048_cropped.tif	310	1.09	0.004	2.208	0.846	0.95	837A	A	2.42E+08	1	05/10/21	RBB	0.038	05/10/21	1	5	N	0.17	0.137	1.240875912	1	05/10/21	bottom	9481	9534		dnf4	A17	Late	2
837A	837	A	05/10/21	Y	5	NA	NA	837_A_0048_cropped.tif	310	1.09	0.004	2.208	0.846	0.95	837B	B	2.51E+08	1	05/11/21	LCL	0.142	05/11/21	1	5	N	0.3	0.331	0.906344411	1	05/11/21	even	9485	9562		dnf4	A17	Late	2
837A	837	A	05/10/21	Y	5	NA	NA	837_A_0048_cropped.tif	310	1.09	0.004	2.208	0.846	0.95	837C	C	0	NA			NA	05/12/21	3	5	N	0.432	0.592	0.72972973	1	05/12/21	even	9477	9480		dnf4	A17	Late	2
