diff	lwr	upr	p adj	comparison	trait	p_adj	Significant
-0.0166518112435253	-0.0723828918112413	0.0390792693241907	0.999165023238224	A17-sunn1	cfu_per_nodule_LOG10	0.999165023238224	
0.0170939837216191	-0.052414886038077	0.0866028534813151	0.999917093805303	A17-rdn1	cfu_per_nodule_LOG10	0.999917093805303	
-0.00819698372569622	-0.0607407503820773	0.0443467829306849	0.999999797759027	A17-dnf5/dnf2	cfu_per_nodule_LOG10	0.999999797759027	
0.000598298097940764	-0.0551327824697752	0.0563293786656568	1	A17-dnf1/dnf2	cfu_per_nodule_LOG10	1	
-0.0057236539509522	-0.0582674206073333	0.0468201127054289	0.999999998760724	A17-dnf7	cfu_per_nodule_LOG10	0.999999998760724	
-0.0103639343855002	-0.0629077010418813	0.0421798322708809	0.999995111514511	A17-dnf6	cfu_per_nodule_LOG10	0.999995111514511	
0.00572816331895665	-0.0637807064407394	0.0752370330786527	0.999999999978794	A17-dnf4	cfu_per_nodule_LOG10	0.999999999978794	
0.0191743546062563	-0.0333694120501248	0.0717181212626374	0.993031359620372	A17-dnf3	cfu_per_nodule_LOG10	0.993031359620372	
0.0164169617600463	-0.0361268048963348	0.0689607284164273	0.998625207631842	A17-dnf2	cfu_per_nodule_LOG10	0.998625207631842	
0.00798057932854135	-0.0477505012391746	0.0637116598962573	0.999999938815532	A17-dnf1	cfu_per_nodule_LOG10	0.999999938815532	
0.070692532273229	0.010020216626632	0.131364847919826	0.00951495597176211	A17-nad1	cfu_per_nodule_LOG10	0.00951495597176211	**
0.0810027874876383	-0.0100056859822572	0.172011260957534	0.130687106218993	A17-latd	cfu_per_nodule_LOG10	0.130687106218993	
0.0605026660718833	0.00477158550416727	0.116233746639599	0.0217431645313333	A17-ipd3	cfu_per_nodule_LOG10	0.0217431645313333	*
-0.0137294358711192	-0.0694605164388352	0.0420016446965968	0.999915299007285	A17-hcl	cfu_per_nodule_LOG10	0.999915299007285	
-0.0332276732652792	-0.0681354163822414	0.001680069851683	0.0776114939102274	A17-sunn4	cfu_per_plant_LOG10	0.0776114939102274	
-0.0233395733214878	-0.0603648261323708	0.0136856794893952	0.642569480962366	A17-sunn1	cfu_per_plant_LOG10	0.642569480962366	
-0.0182804221998242	-0.0644590257588285	0.0278981813591802	0.985350438370467	A17-rdn1	cfu_per_plant_LOG10	0.985350438370467	
-0.01375631838125	-0.0486640614982122	0.0211514247357122	0.985949836493769	A17-dnf5/dnf2	cfu_per_plant_LOG10	0.985949836493769	
-0.0104814316733306	-0.0475066844842136	0.0265438211375524	0.999570564774515	A17-dnf1/dnf2	cfu_per_plant_LOG10	0.999570564774515	
-0.00274882011912281	-0.037656563236085	0.0321589229978394	0.999999999989892	A17-dnf7	cfu_per_plant_LOG10	0.999999999989892	
