"strains"	"latd"	"ipd3"	"nad1"	"dnf2"	"dnf3"	"dnf6"	"dnf7"	"sunn4"	"sunn1"	"rdn1"	"hcl"	"dnf1"	"dnf4"	"dnf5dnf2"	"dnf1dnf2"
"MAG325"	-1.23372667781714	-0.772187038761329	-0.283999269990418	0.0113170229746061	-0.31884292138576	0.340934388359941	-0.687191203888275	-0.0971294335395408	-0.0450032348973819	0.0435271458161292	-0.0974667439833098	-0.467879187021721	0.92349896055937	-0.361634012571457	-1.00148749386692
"MAG342"	1.11541538553752	-0.22221721875452	-0.026968905179763	0.281539048860913	0.369119837716736	0.338161927086633	-0.030058692096797	0.295869713006624	0.185438835254609	1.06378377684128	0.395822453055569	0.505686972124612	-0.0190549025389085	0.146767611817877	0.088303357776576
"MAG358"	2.1882662864886	0.0437689404428687	-0.191990801053756	0.147791338136353	-0.673513565318677	1.24123794981103	0.0441459949766594	0.521517124342516	0.699768455266131	1.01987903761268	0.539466616832449	-0.206737828479966	0.227953810749687	-0.156075489399528	-0.602700232938009
"MAG373"	-1.23307283694983	-0.537924031770424	-0.514623931835973	-0.432925762210903	0.0184424262361557	-0.113227780998382	-0.603263307068313	0.0499117847201989	-0.348055954388966	0.498535719770547	0.362030963556586	0.219132184257679	-0.641932513712303	-0.837292511117294	-0.556879254568218
"MAG384"	0.315646820903317	-0.638715168884133	-0.221219384983433	-0.412396672602371	-0.321398972181463	1.02554472273383	-0.357864666188447	0.205663934673063	0.649941402307304	-0.649352634556462	-2.15577893769001	0.168396070057606	-0.74292517982213	-0.295632437516438	0.193816935543007
"MAG386"	2.11299715413965	-0.14113862083211	0.377573245549093	0.362167291321874	0.358556674741629	0.314580907122724	0.15264924375065	0.405031123469055	0.774437715888749	0.571055625958175	0.743064473580717	0.296964721138447	0.0634188197902167	0.11286819130887	-0.0208823716552595
"MAG406"	1.18757325118311	0.381586728400771	0.37163156552988	0.322316838288954	-0.000919588260369669	-0.328225682715034	0.109516239174137	0.840460806360848	1.09015621918106	0.65538340632492	0.927219529874189	0.0476051363607727	0.741529768164304	0.0888067313921665	0.389315842661733
"MAG417"	-2.03038474722056	-1.53061551829038	-0.339824610385301	-2.65822932527834	-1.29334716928537	-1.28643396285138	-1.53487583563623	-1.2856020483438	-0.40088250812418	0.155798567998927	-2.61702064366952	0.933553017536277	-1.34062940557761	-1.14018706598477	-1.7147459927066
"MAG420"	-0.754590473012549	-0.0374966164929571	-0.414351695753825	-0.263140945709674	-0.193406787724532	-0.237876913278333	-0.26603986191654	-0.256124720443311	-0.225630556440692	0.0449373384269295	-0.241751067865441	0.0245459907742961	-0.266094057458706	-0.337349818691759	-0.453269807879876
"MAG513"	-0.83080167411622	-0.282686528638582	-0.53487579368415	-0.509929179965543	-0.17298213855781	-0.463636652251441	-0.274237075840964	0.0572034471570331	-0.545648726073585	0.143665676635512	-0.75006268861143	0.0681137216329267	-0.374531395497591	-0.444966434885044	-0.469355090121939
